"County, Indiana", Age 0-19,Age 20-39,Age 40-59,Age 60-79,Age 80+,Male,Female,White,African American,American Indian/Alaskan Native,Asian,Native Hawaiian/Pacific Islander,Hispanic,Non-Hispanic,Totals
"Adams County, Indiana",12037,8212,7796,5973,1618,17818,17818,35361,21,109,145,0,1639,33997,35636
"Allen County, Indiana",105770,100794,91497,64249,13041,183547,191804,309500,46483,1937,17043,387,28527,346824,375351
"Bartholomew County, Indiana",21402,22214,20681,15262,3194,41625,41128,73671,1934,421,6643,84,5710,77043,82753
"Benton County, Indiana",2341,1915,2265,1762,370,4292,4361,8503,88,26,26,9,450,8203,8653
"Blackford County, Indiana",2847,2618,3052,2765,648,5893,6037,11748,96,37,49,0,215,11715,11930
"Boone County, Indiana",19236,16353,18477,10891,2042,33299,33700,63322,1362,204,2111,0,2144,64855,66999
"Brown County, Indiana",3017,2895,4236,4404,682,7510,7724,14940,108,108,77,0,259,14975,15234
"Carroll County, Indiana",4914,4406,5392,4497,918,10124,10003,19842,163,82,40,0,825,19302,20127
"Cass County, Indiana",9640,8932,10006,7602,1775,18940,19015,35756,849,425,849,77,6035,31920,37955
"Clark County, Indiana",28760,31077,31391,22109,4023,57272,60088,105673,9760,482,1325,120,6455,110905,117360
"Clay County, Indiana",6552,6183,6880,5395,1160,12928,13242,25798,185,80,106,0,366,25804,26170
"Clinton County, Indiana",9194,7666,7984,5867,1539,16028,16222,31728,229,163,130,0,5289,26961,32250
"Crawford County, Indiana",2490,2241,2936,2499,392,5374,5184,10408,64,54,21,11,148,10410,10558
"Daviess County, Indiana",10494,8132,7495,5766,1260,16706,16441,32074,737,134,168,33,1624,31523,33147
"Dearborn County, Indiana",12225,11093,13988,10369,1893,24635,24933,48815,351,100,251,51,644,48924,49568
"Decatur County, Indiana",7148,6430,6956,5136,1124,13317,13477,26199,163,81,352,0,563,26231,26794
"DeKalb County, Indiana",11434,10624,11330,8213,1625,21440,21786,42614,218,131,218,43,1210,42016,43226
"Delaware County, Indiana",27507,35056,25783,21277,5149,55435,59337,104210,8450,352,1643,118,2984,111788,114772
"Dubois County, Indiana",11227,9735,11205,8420,1978,21283,21283,41705,344,129,301,86,3320,39245,42566
"Elkhart County, Indiana",61829,52046,49826,34177,7682,101547,104013,188693,12861,1265,2530,211,33506,172054,205560
"Fayette County, Indiana",5486,5066,6162,5180,1153,11385,11662,22534,327,93,93,0,300,22747,23047
"Floyd County, Indiana",19371,19702,20916,15038,2754,37802,39979,72123,4383,319,956,0,2645,75136,77781
"Fountain County, Indiana",3936,3686,4331,3526,872,8159,8192,16120,99,66,50,16,425,15926,16351
"Franklin County, Indiana",5761,4953,6198,4856,968,11368,11368,22346,69,69,252,0,273,22463,22736
"Fulton County, Indiana",5158,4540,5078,4366,950,10046,10046,19602,184,184,123,0,1065,19027,20092
"Gibson County, Indiana",8587,7998,8694,6645,1528,16726,16726,32462,717,102,171,0,569,32883,33452
"Grant County, Indiana",16246,16396,16047,13958,3289,31583,34353,60047,4942,271,677,0,2901,63035,65936
"Greene County, Indiana",7668,7017,8770,7068,1483,16035,15971,31650,97,129,129,0,480,31526,32006
"Hamilton County, Indiana",96767,82259,92654,49524,8882,161412,168674,293635,14851,675,20925,0,13534,316552,330086
"Hancock County, Indiana",19554,18445,21122,14578,2652,37565,38786,73167,2252,233,699,0,1832,74519,76351
"Harrison County, Indiana",9948,9352,11035,8483,1532,20175,20175,39696,286,123,205,41,807,39543,40350
"Hendricks County, Indiana",45685,42785,45748,27698,5093,83505,83505,148585,12624,512,5117,171,6680,160329,167010
"Henry County, Indiana",10940,11649,13207,10256,2219,25101,23170,46654,1323,98,196,0,917,47354,48271
"Howard County, Indiana",20411,19350,20982,17659,3964,39948,42418,74409,6518,338,1101,0,2883,79483,82366
"Huntington County, Indiana",8876,8994,9479,7259,1632,17866,18374,35507,257,220,220,36,942,35298,36240
"Jackson County, Indiana",11771,10795,11485,8277,1783,21967,22144,42233,537,179,1074,89,3176,40935,44111
"Jasper County, Indiana",8755,7809,8713,6756,1337,16585,16785,32796,304,101,169,0,2036,31334,33370
"Jay County, Indiana",5790,4662,5227,4168,917,10340,10424,20532,105,43,84,0,664,20100,20764
"Jefferson County, Indiana",7511,8072,8566,6815,1244,15492,16716,31192,655,99,262,0,934,31274,32208
"Jennings County, Indiana",6958,6495,7843,5429,886,13833,13778,27220,252,56,84,0,718,26893,27611
"Johnson County, Indiana",42322,41625,40578,26492,5208,77175,79050,146203,3818,478,5568,159,5624,150601,156225
"Knox County, Indiana",9561,9537,8741,7374,1682,18669,18226,35287,1122,112,336,37,812,36083,36895
"Kosciusko County, Indiana",20911,20288,19566,15500,3079,39672,39672,76691,965,321,1287,80,6427,72917,79344
"LaGrange County, Indiana",13887,9383,8582,6313,1165,19980,19350,38814,199,119,199,0,1613,37717,39330
"Lake County, Indiana",125186,120988,125138,92996,20103,234455,249956,351716,120857,2959,8386,493,93976,390435,484411
"LaPorte County, Indiana",25897,28287,28542,22913,4368,56654,53353,95707,13061,563,676,0,7480,102527,110007
"Lawrence County, Indiana",10900,10203,12205,10175,2185,22606,23062,44926,231,186,325,0,776,44892,45668
"Madison County, Indiana",31238,32298,33870,26503,5732,64821,64821,116808,11376,530,794,133,5315,124326,129642
"Marion County, Indiana",257640,293706,228542,145891,28895,460151,494519,629233,284141,4916,35395,984,101195,853479,954670
"Marshall County, Indiana",12698,10429,11729,9220,2172,23032,23216,45263,422,188,329,47,4810,41438,46248
"Martin County, Indiana",2483,2239,2675,2357,463,5180,5037,10103,31,41,41,0,112,10105,10217
"Miami County, Indiana",8278,9128,9618,7115,1428,19135,16432,33205,1816,364,182,0,1174,34393,35567
"Monroe County, Indiana",34205,56952,28767,22367,4626,73018,73899,130325,5430,453,10559,151,5142,141775,146917
"Montgomery County, Indiana",9876,9111,9897,7667,1795,19441,18905,37451,428,155,312,0,1917,36429,38346
"Morgan County, Indiana",17467,15902,19865,14439,2443,34848,35268,69121,356,213,427,0,1122,68994,70116
"Newton County, Indiana",3267,3140,3804,3166,634,7076,6935,13727,128,71,71,14,897,13114,14011
"Noble County, Indiana",12751,11499,12449,9145,1688,23814,23718,46521,529,192,241,49,4991,42541,47532
"Ohio County, Indiana",1214,1205,1669,1478,278,2893,2951,5772,35,18,18,0,88,5756,5844
"Orange County, Indiana",4871,4310,5066,4373,869,9725,9764,19036,296,79,79,0,351,19138,19489
"Owen County, Indiana",4845,4461,5881,4867,791,10423,10423,20550,105,84,105,0,313,20532,20846
"Parke County, Indiana",3974,4128,4378,3730,717,8006,8921,16363,444,86,34,0,271,16656,16927
"Perry County, Indiana",4380,4861,4923,4025,913,10239,8863,18387,541,77,97,0,267,18835,19102
"Pike County, Indiana",2976,2667,3316,2853,598,6193,6217,12184,88,50,88,0,174,12236,12410
"Porter County, Indiana",41962,42959,44941,33540,6192,83949,85645,159070,7246,690,2588,0,17468,152126,169594
"Posey County, Indiana",6146,5782,6789,5698,1125,12744,12796,25049,258,78,155,0,332,25208,25540
"Pulaski County, Indiana",3048,2771,3270,2787,593,6359,6110,12168,113,62,126,0,399,12070,12469
"Putnam County, Indiana",9033,10565,9558,7062,1561,19834,17945,35784,1458,153,384,0,793,36986,37779
"Randolph County, Indiana",6266,5326,6463,5435,1361,12202,12649,24399,201,126,100,25,870,23981,24851
"Ripley County, Indiana",7430,6571,7532,5722,1268,14119,14404,27975,145,115,288,0,542,27981,28523
"Rush County, Indiana",4167,3754,4470,3484,788,8215,8448,16342,185,68,68,0,283,16380,16663
"St. Joseph County, Indiana",73176,73207,64469,48816,11103,131865,138906,223037,38522,1675,7258,279,24099,246672,270771
"Scott County, Indiana",5907,5706,6704,4741,820,11724,12154,23443,120,73,242,0,597,23281,23878
"Shelby County, Indiana",11108,10451,12170,9037,1827,22163,22430,43330,632,180,406,46,1962,42631,44593
"Spencer County, Indiana",4872,4413,5577,4561,904,10224,10103,19978,205,62,82,0,610,19717,20327
"Starke County, Indiana",5722,5206,6003,5110,894,11445,11490,22679,93,117,47,0,894,22041,22935
"Steuben County, Indiana",8223,7789,8939,8145,1490,17570,17016,33920,280,140,211,35,1280,33306,34586
"Sullivan County, Indiana",4439,5551,5640,4177,883,11235,9455,19547,1016,63,63,0,372,20318,20690
"Switzerland County, Indiana",2883,2385,2884,2145,420,5519,5198,10500,141,32,44,0,214,10503,10717
"Tippecanoe County, Indiana",51915,71883,37871,25808,5571,98648,94400,163894,11229,788,16941,197,16409,176639,193048
"Tipton County, Indiana",3485,3265,4097,3505,776,7534,7594,14867,107,62,92,0,439,14689,15128
"Union County, Indiana",1584,1616,1985,1555,297,3490,3547,6909,71,21,36,0,127,6910,7037
"Vanderburgh County, Indiana",44143,49811,43826,35016,8178,87772,93202,159585,18041,558,2418,372,4886,176088,180974
"Vermillion County, Indiana",3751,3435,4081,3482,730,7693,7786,15277,78,63,47,15,201,15278,15479
"Vigo County, Indiana",26172,32299,24842,19657,4416,54445,52941,96713,8032,441,2201,0,2899,104487,107386
"Wabash County, Indiana",7560,7136,7834,6789,1961,15171,16109,30614,253,222,190,0,813,30467,31280
"Warren County, Indiana",2020,1739,2240,1850,414,4082,4181,8146,33,25,51,8,165,8098,8263
"Warrick County, Indiana",16298,14234,16910,12656,2469,30658,31909,59581,1080,191,1715,0,1189,61378,62567
"Washington County, Indiana",6986,6525,7692,5738,1002,13916,14027,27660,142,57,85,0,391,27552,27943
"Wayne County, Indiana",16206,15682,16871,13838,3339,31913,34023,61517,3399,272,679,68,2044,63892,65936
"Wells County, Indiana",7552,6501,7010,5754,1389,13906,14300,27692,229,86,199,0,903,27303,28206
"White County, Indiana",6192,5140,6123,5488,1190,12018,12115,23619,196,171,147,0,2100,22033,24133
"Whitley County, Indiana",8581,7874,9005,7131,1483,16969,17105,33557,172,138,207,0,750,33324,34074
